courier_id,order_number,courier_location_timestamp,courier_lat,courier_lon,order_created_timestamp,restaurant_lat,restaurant_lon,restaurant_id
a98737cbhoho5012hoho4b5bhoho867fhoho8475c658546d,281289453,2021-04-02T04:30:42.328Z,50.48452033,-104.6188756,2021-04-02T04:20:42Z,50.48369625,-104.6143496,0
39a26fa0hohof428hoho47a4hohoa320hoho12e3d831c23a,280949566,2021-04-01T06:14:47.386Z,50.44257272,-104.5504633,2021-04-01T06:05:18Z,50.4424223,-104.5504874,1
3813235ehoho7a42hoho4601hohob7eahoho799e8af5b535,281328578,2021-04-02T05:48:57.224Z,50.4959203,-104.6356053,2021-04-02T05:13:26Z,50.4965949,-104.6356059,2
9f033953hohocd53hoho488ahohoaf51hohoc57943e499ed,281317998,2021-04-02T05:12:17.252Z,50.44944549,-104.6115206,2021-04-02T04:59:57Z,50.4495041,-104.6110744,3
56f65bc8hohoba54hoho47dfhohoa09chohof7464b5d9848,281314132,2021-04-02T05:15:38.266Z,50.4952544,-104.6663829,2021-04-02T04:54:53Z,50.4951598,-104.6657333,4
14995ac3hohoa1cbhoho4c4chohoab10hoho224f17643c1d,281338111,2021-04-02T05:56:05.205Z,50.49591919,-104.6401447,2021-04-02T05:25:31Z,50.496378,-104.6403723,5
06c6be58hoho08e1hoho41a7hohob6f8hoho4dceb6c4fb80,281343348,2021-04-02T05:55:23.294Z,50.44832779,-104.5364603,2021-04-02T05:32:04Z,50.44823384,-104.5361866,6
4407d22bhoho005bhoho4ea1hohob2d9hoho4ad22c0dd75f,280950717,2021-04-01T06:19:07.133Z,50.4728455,-104.6185473,2021-04-01T06:07:15Z,50.4727424,-104.6185983,7
53510a74hohoc305hoho47e9hoho95b2hoho401358e7fe9a,281313990,2021-04-02T05:15:18.303Z,50.44518463,-104.5560721,2021-04-02T04:54:41Z,50.44513235,-104.5563144,8
e75db857hoho17e0hoho4ddbhoho9884hoho4160f0f5f253,281248939,2021-04-02T03:30:31.258Z,50.45200966,-104.6114739,2021-04-02T03:19:09Z,50.45106643,-104.6113796,9
2c3a3abehoho863choho4685hohobcadhohoeba805ffdc14,281227870,2021-04-02T03:02:40.535Z,50.4495672,-104.611548,2021-04-02T02:39:13Z,50.4495041,-104.6110744,3
b59c4e8ahoho1772hoho4bbdhohob6eahohof06dac58de6e,280948729,2021-04-01T06:38:48.274Z,50.44414036,-104.6059148,2021-04-01T06:03:53Z,50.4442844,-104.6057949,10
3e91435dhoho6f91hoho4c0bhoho8feehoho19a15c249020,280935882,2021-04-01T06:05:08.139Z,50.44582824,-104.5303494,2021-04-01T05:42:34Z,50.4457124,-104.5303196,11
0a1d7c00hoho5a7fhoho46fdhohoa790hohoe3620e306a61,280939953,2021-04-01T06:11:36.202Z,50.4959275,-104.6352855,2021-04-01T05:49:16Z,50.4965949,-104.6356059,2
a6f716a0hohofe7bhoho49bbhoho9e54hoho3c3c8bb457b8,281251714,2021-04-02T03:30:17.691Z,50.4969913,-104.6445924,2021-04-02T03:23:40Z,50.4968531,-104.6445551,12
67c4169ehoho0641hoho4266hohobf7choho30eede7a1d2c,281232223,2021-04-02T03:02:04.675Z,50.44563871,-104.5563008,2021-04-02T02:48:26Z,50.4457623,-104.5563163,13
f522e6cbhoho5741hoho4a9ehoho8fa9hoho7fad1b96a3bd,281341696,2021-04-02T05:41:54.330Z,50.4047384,-104.6457332,2021-04-02T05:30:06Z,50.40480198,-104.6459734,14
62ebc9f1hohoc19bhoho458fhoho98d2hohoa09270316ed9,281302095,2021-04-02T04:51:10.715Z,50.4633278,-104.6184903,2021-04-02T04:38:30Z,50.4632682,-104.6185189,15
30a6cb7fhoho1825hoho407ehoho97f0hoho9d374a6b2f20,281355547,2021-04-02T05:57:28.332Z,50.47737958,-104.6175976,2021-04-02T05:47:19Z,50.47748004,-104.617425,16
60ff30a9hoho7ffehoho4289hohob861hohoa47d6b5a6586,281351133,2021-04-02T05:57:57.297Z,50.44264266,-104.5506534,2021-04-02T05:41:59Z,50.44242609,-104.5503279,17
95f1b215hohob7a0hoho4d2bhohob0d4hohoa78e7914aa2f,280946273,2021-04-01T06:26:47.265Z,50.44738943,-104.5879286,2021-04-01T05:59:54Z,50.44735375,-104.5877495,18
54c892dchoho984bhoho4b4bhohoa88fhohod84597e36da5,281275675,2021-04-02T04:02:32.237Z,50.4506505,-104.6068376,2021-04-02T04:00:45Z,50.4507793,-104.6067218,19
3aebe654hoho2020hoho427ahoho94dahohoa40a47a9def1,281308124,2021-04-02T05:17:04.253Z,50.47790801,-104.6174839,2021-04-02T04:46:37Z,50.4781747,-104.6175211,20
576edad4hohoca4ehoho4b92hoho8163hoho73fd5d39603d,281327258,2021-04-02T05:40:02.237Z,50.44998167,-104.61234,2021-04-02T05:11:47Z,50.450153,-104.6118728,21
38bbcffdhoho8f3dhoho4d01hohobdf9hoho1419d6dd27b3,281297584,2021-04-02T04:47:23.323Z,50.4735875,-104.6177821,2021-04-02T04:32:12Z,50.4737533,-104.6177234,22
c44e9137hohof007hoho4b05hoho95a8hoho46248a23ed68,281334983,2021-04-02T05:24:03.557Z,50.4018023,-104.6240507,2021-04-02T05:21:30Z,50.4024646,-104.6231499,23
1c06234chohod378hoho4fbchohob27bhoho506e77b8cd65,281336612,2021-04-02T05:48:06.157Z,50.4955253,-104.6666868,2021-04-02T05:23:34Z,50.4951598,-104.6657333,4
d9a55ba6hoho9710hoho4169hohoa534hoho67977da344f0,281274988,2021-04-02T04:19:03.139Z,50.4555025,-104.6714087,2021-04-02T03:59:43Z,50.4555813,-104.6714388,24
62ebc9f1hohoc19bhoho458fhoho98d2hohoa09270316ed9,281360648,2021-04-02T05:55:45.277Z,50.40570255,-104.6171996,2021-04-02T05:53:44Z,50.40589864,-104.6170534,25
d689809dhohod6dfhoho46b1hohob56ehohod3c084374845,281315070,2021-04-02T05:21:42.161Z,50.49532768,-104.6664791,2021-04-02T04:56:04Z,50.49525535,-104.666377,26
243b0246hohof3bahoho4617hoho833choho357e65556f50,281351460,2021-04-02T06:00:31.496Z,50.4500108,-104.6123101,2021-04-02T05:42:21Z,50.45016468,-104.612035,27
1fc820d4hoho909ehoho4cd5hohob77choho67e0e6056761,281351291,2021-04-02T05:52:07.228Z,50.4554421,-104.6714123,2021-04-02T05:42:10Z,50.4555813,-104.6714388,24
65f88b58hoho0eaehoho49fchohob4d5hoho86be7e3fb54e,280960432,2021-04-01T06:32:07.167Z,50.44527575,-104.6406134,2021-04-01T06:24:01Z,50.4452748,-104.6406073,28
adbb9536hoho0f29hoho4b8chohobb16hoho2da5ec571e5e,280946558,2021-04-01T06:35:28.194Z,50.44468349,-104.6178319,2021-04-01T06:00:22Z,50.4447136,-104.6177876,29
5c5e918choho43a5hoho49b9hohobbb5hohoab00a61e72ae,280952259,2021-04-01T06:45:14.288Z,50.49596859,-104.6617101,2021-04-01T06:09:59Z,50.496146,-104.6616474,30
010a7780hoho5af1hoho4796hoho80e9hoho0bdfd591f4b0,280963978,2021-04-01T06:48:05.167Z,50.4960683,-104.6599633,2021-04-01T06:30:15Z,50.4962242,-104.6599129,31
1be24d87hoho6a7ehoho4a20hohoab1bhohoa21b1c459261,281255222,2021-04-02T03:48:34.301Z,50.46622931,-104.6723529,2021-04-02T03:29:13Z,50.4662913,-104.6723324,32
7bb720cbhoho6a8ehoho4822hoho966ehoho8133f364eba6,281276949,2021-04-02T04:10:58.270Z,50.41621466,-104.5135192,2021-04-02T04:02:38Z,50.41603233,-104.5135717,33
003ae1c1hohocbc8hoho4dc5hohoad20hohoe947d0b6008f,281339708,2021-04-02T05:52:06.244Z,50.46884781,-104.6183853,2021-04-02T05:27:33Z,50.4688758,-104.6184867,34
0ac4865ahoho17a3hoho4389hohoaad0hoho28dea2fb59a4,281314887,2021-04-02T05:25:28.383Z,50.44735048,-104.591937,2021-04-02T04:55:50Z,50.4474556,-104.591116,35
14995ac3hohoa1cbhoho4c4chohoab10hoho224f17643c1d,281265106,2021-04-02T03:50:52.195Z,50.44323983,-104.549806,2021-04-02T03:45:00Z,50.4433109,-104.5498255,36
3661437choho6fdfhoho4164hohoa540hohoe8f28936bb36,281266396,2021-04-02T03:58:53.234Z,50.4076818,-104.6169822,2021-04-02T03:46:56Z,50.4078918,-104.6170033,37
cad2fd3fhoho968fhoho4d00hohoa7fehohof89283df9754,281353493,2021-04-02T05:56:39.309Z,50.40208601,-104.6237194,2021-04-02T05:44:51Z,50.40207481,-104.6237749,38
fc78af7ahoho9d43hoho425ahoho92b2hoho9b1faa6ba8f7,280968800,2021-04-01T06:53:22.969Z,50.45036365,-104.6017454,2021-04-01T06:39:05Z,50.4502772,-104.6018536,39
f0c370e8hoho60b1hoho4e6ehohoadb8hoho1aa1f7ca9d0f,281316581,2021-04-02T05:09:12.416Z,50.4476677,-104.5590524,2021-04-02T04:58:03Z,50.4481147,-104.5588562,40
5e83d7bfhoho674choho41d7hoho8cf7hoho8d41661734b4,281301947,2021-04-02T05:02:25.165Z,50.44697459,-104.5786362,2021-04-02T04:38:18Z,50.4468652,-104.578615,41
bde7d3a7hohoc9bahoho4c31hohoaba5hoho981eba307733,281322949,2021-04-02T05:27:24.322Z,50.44991555,-104.6123595,2021-04-02T05:06:21Z,50.45016468,-104.612035,27
8b7ec3c7hohod1a8hoho417ahohoae52hoho3aeab6f46598,280969526,2021-04-01T06:47:18.179Z,50.4488953,-104.5333816,2021-04-01T06:40:26Z,50.446987,-104.5314769,42
0b4ddc03hoho01f4hoho40c9hoho8e05hohod58814e46988,280926963,2021-04-01T06:05:20.126Z,50.44231652,-104.6151466,2021-04-01T05:27:53Z,50.4422736,-104.6147315,43
eed18161hohoeb2ehoho4905hohoa60fhohobc948f91b899,281287408,2021-04-02T04:34:04.612Z,50.4475597,-104.5947786,2021-04-02T04:17:46Z,50.4475473,-104.5945124,44
fc78af7ahoho9d43hoho425ahoho92b2hoho9b1faa6ba8f7,281305966,2021-04-02T05:02:07.029Z,50.49548817,-104.6662928,2021-04-02T04:43:43Z,50.49528433,-104.6658239,45
