courier_id,order_number,courier_location_timestamp,courier_lat,courier_lon,order_created_timestamp,restaurant_lat,restaurant_lon,restaurant_id
a98737cbhoho5012hoho4b5bhoho867fhoho8475c658546d,281289453,2021-04-02T04:30:42.328Z,50.484520325268576,-104.61887559561548,2021-04-02T04:20:42Z,50.483696253259296,-104.6143495850418,0
39a26fa0hohof428hoho47a4hohoa320hoho12e3d831c23a,280949566,2021-04-01T06:14:47.386Z,50.44257272227587,-104.55046328384748,2021-04-01T06:05:18Z,50.4424223,-104.5504874,1
3813235ehoho7a42hoho4601hohob7eahoho799e8af5b535,281328578,2021-04-02T05:48:57.224Z,50.4959203,-104.6356053,2021-04-02T05:13:26Z,50.4965949,-104.6356059,2
9f033953hohocd53hoho488ahohoaf51hohoc57943e499ed,281317998,2021-04-02T05:12:17.252Z,50.44944549244436,-104.61152056643822,2021-04-02T04:59:57Z,50.4495041,-104.6110744,3
56f65bc8hohoba54hoho47dfhohoa09chohof7464b5d9848,281314132,2021-04-02T05:15:38.266Z,50.4952544,-104.6663829,2021-04-02T04:54:53Z,50.4951598,-104.6657333,4
14995ac3hohoa1cbhoho4c4chohoab10hoho224f17643c1d,281338111,2021-04-02T05:56:05.205Z,50.49591919181468,-104.64014471092294,2021-04-02T05:25:31Z,50.496378,-104.6403723,5
06c6be58hoho08e1hoho41a7hohob6f8hoho4dceb6c4fb80,281343348,2021-04-02T05:55:23.294Z,50.44832779371343,-104.53646034046066,2021-04-02T05:32:04Z,50.4482338434,-104.536186627,6
4407d22bhoho005bhoho4ea1hohob2d9hoho4ad22c0dd75f,280950717,2021-04-01T06:19:07.133Z,50.47284549999999,-104.61854733333332,2021-04-01T06:07:15Z,50.4727424,-104.6185983,7
53510a74hohoc305hoho47e9hoho95b2hoho401358e7fe9a,281313990,2021-04-02T05:15:18.303Z,50.44518463051854,-104.55607211858168,2021-04-02T04:54:41Z,50.4451323499,-104.556314434,8
e75db857hoho17e0hoho4ddbhoho9884hoho4160f0f5f253,281248939,2021-04-02T03:30:31.258Z,50.45200965571068,-104.61147389130386,2021-04-02T03:19:09Z,50.45106643345182,-104.61137957374956,9
2c3a3abehoho863choho4685hohobcadhohoeba805ffdc14,281227870,2021-04-02T03:02:40.535Z,50.4495672,-104.611548,2021-04-02T02:39:13Z,50.4495041,-104.6110744,3
b59c4e8ahoho1772hoho4bbdhohob6eahohof06dac58de6e,280948729,2021-04-01T06:38:48.274Z,50.44414036121766,-104.60591478014786,2021-04-01T06:03:53Z,50.4442844,-104.6057949,10
3e91435dhoho6f91hoho4c0bhoho8feehoho19a15c249020,280935882,2021-04-01T06:05:08.139Z,50.44582823879621,-104.53034935228764,2021-04-01T05:42:34Z,50.4457124,-104.5303196,11
0a1d7c00hoho5a7fhoho46fdhohoa790hohoe3620e306a61,280939953,2021-04-01T06:11:36.202Z,50.4959275,-104.6352855,2021-04-01T05:49:16Z,50.4965949,-104.6356059,2
a6f716a0hohofe7bhoho49bbhoho9e54hoho3c3c8bb457b8,281251714,2021-04-02T03:30:17.691Z,50.4969913,-104.6445924,2021-04-02T03:23:40Z,50.4968531,-104.6445551,12
67c4169ehoho0641hoho4266hohobf7choho30eede7a1d2c,281232223,2021-04-02T03:02:04.675Z,50.445638714313056,-104.55630076216012,2021-04-02T02:48:26Z,50.4457623,-104.5563163,13
