courier_id,order_number,courier_location_timestamp,courier_lat,courier_lon,order_created_timestamp,restaurant_lat,restaurant_lon,restaurant_id,dist_to_restaurant,avg_dist_to_restaurants,Hdist_to_restaurant,avg_Hdist_to_restaurants,Five_Clusters_embedding,Five_Clusters_embedding_error,h3_index,date_day_number,date_hour_number,orders_busyness_by_h3_hour,restaurants_per_index
346,281289453,30:42.3,50.48452033,-104.6188756,2021-04-02 4:20,50.48369625,-104.6143496,0,0.00460042,0.056685649,0.333172912,5.267000152,0,0.028487441,28,92,4,422,51
116,280949566,14:47.4,50.44257272,-104.5504633,2021-04-01 6:05,50.4424223,-104.5504874,1,0.000152343,0.064684517,0.016817902,5.036709803,3,0.006966781,17,91,6,701,75
110,281328578,48:57.2,50.4959203,-104.6356053,2021-04-02 5:13,50.4965949,-104.6356059,2,0.0006746,0.067023502,0.075033303,6.284221212,0,0.00899828,6,92,5,941,59
328,281317998,12:17.3,50.44944549,-104.6115206,2021-04-02 4:59,50.4495041,-104.6110744,3,0.000449999,0.045751964,0.032264802,3.942031467,4,0.035748177,22,92,5,1026,69
178,281314132,15:38.3,50.4952544,-104.6663829,2021-04-02 4:54,50.4951598,-104.6657333,4,0.000656452,0.082413417,0.047151979,7.16197007,0,0.021886267,5,92,5,397,35
46,281338111,56:05.2,50.49591919,-104.6401447,2021-04-02 5:25,50.496378,-104.6403723,5,0.000512154,0.068475221,0.053511907,6.361051437,0,0.004508183,6,92,5,941,59
13,281343348,55:23.3,50.44832779,-104.5364603,2021-04-02 5:32,50.44823384,-104.5361866,6,0.000289389,0.074040225,0.022023089,5.634974833,3,0.008296013,11,92,5,711,53
136,280950717,19:07.1,50.4728455,-104.6185473,2021-04-01 6:07,50.4727424,-104.6185983,7,0.00011501,0.051090994,0.012021607,4.593506616,0,0.035394474,28,91,6,642,51
165,281313990,15:18.3,50.44518463,-104.5560721,2021-04-02 4:54,50.44513235,-104.5563144,8,0.000247891,0.06131148,0.018121697,4.798090162,2,0.009805167,17,92,5,966,75
444,281248939,30:31.3,50.45200966,-104.6114739,2021-04-02 3:19,50.45106643,-104.6113796,9,0.000947926,0.045804679,0.105123594,3.950500989,4,0.038267356,22,92,3,301,69
86,281227870,02:40.5,50.4495672,-104.611548,2021-04-02 2:39,50.4495041,-104.6110744,3,0.000477785,0.045750195,0.034268746,3.941861418,4,0.03586136,22,92,3,301,69
366,280948729,38:48.3,50.44414036,-104.6059148,2021-04-01 6:03,50.4442844,-104.6057949,10,0.000187399,0.046198902,0.018132095,3.977964084,4,0.032428789,23,91,6,362,65
128,280935882,05:08.1,50.44582824,-104.5303494,2021-04-01 5:42,50.4457124,-104.5303196,11,0.000119599,0.078979082,0.013055526,5.968524094,3,0.014101201,11,91,6,527,53
19,280939953,11:36.2,50.4959275,-104.6352855,2021-04-01 5:49,50.4965949,-104.6356059,2,0.000740324,0.066939704,0.077616827,6.280310265,0,0.009315697,6,91,6,647,59
344,281251714,30:17.7,50.4969913,-104.6445924,2021-04-02 3:23,50.4968531,-104.6445551,12,0.000143145,0.070955107,0.015596386,6.548181357,0,0.000143145,6,92,3,207,59
215,281232223,02:04.7,50.44563871,-104.5563008,2021-04-02 2:48,50.4457623,-104.5563163,13,0.000124559,0.061166029,0.01378997,4.78661153,2,0.009305968,17,92,3,302,75
481,281341696,41:54.3,50.4047384,-104.6457332,2021-04-02 5:30,50.40480198,-104.6459734,14,0.000248512,0.072237608,0.018440853,6.603239753,1,0.022119305,9,92,5,641,35
198,281302095,51:10.7,50.4633278,-104.6184903,2021-04-02 4:38,50.4632682,-104.6185189,15,6.61E-05,0.04832827,0.006932569,4.245279918,0,0.042465532,22,92,4,487,69
97,281355547,57:28.3,50.47737958,-104.6175976,2021-04-02 5:47,50.47748004,-104.617425,16,0.000199725,0.052870973,0.016557271,4.818106647,0,0.03325544,28,92,5,761,51
194,281351133,57:57.3,50.44264266,-104.5506534,2021-04-02 5:41,50.44242609,-104.5503279,17,0.000390989,0.064564874,0.033345769,5.028143047,3,0.007097353,17,92,5,966,75
307,280946273,26:47.3,50.44738943,-104.5879286,2021-04-01 5:59,50.44735375,-104.5877495,18,0.000182623,0.048762047,0.013291766,4.040697054,2,0.030018571,23,91,6,362,65
